,index,smiles,ligand,docking_score_min
796,56987,CC1=NC2=C(F)C=CC=C2C=C1C1=NC(=NO1)C1=NC2=CC=CC=C2N=C1,m_270196____13571006____13259988_S0_T0,-11.8
797,24265,FC1(CN(C1)C(=O)C1=NC=CN2C=CN=C12)C1=CN(N=N1)C1=CC=CC2=CC=CC=C12,m_276010____17282136____17269288____17281192_S0_T0,-12.0
798,41971,ClC1=CC=C2C=NNC2=C1C(=O)NC1=CC=C2C(CC3=CC=CC=C23)=C1,s_22____58428____14174232_S0_T1,-11.9
799,8720,CC1=NC=C2CN(CC2=N1)C(=O)C1=CC2=C(O1)C=CC1=C2C=CC=C1,s_22____20616730____12211500_S0_T0,-12.3
800,537,OC1(CN(C1)C(=O)C1=CC2=CC=CC=C2NC1=O)C1=CN(N=N1)C1=CC=CC2=NC=CC=C12,m_276010____17281736____17254368____17280376_S0_T0,-12.8
801,26727,CC1=CC=C(C(=O)NC2=CC=CC(NC(=O)CC3=NOC4=CC=CC=C34)=C2)C2=NC=CC=C12,m_275592____18961462____14139564____14132726_S0_T0,-12.0
802,2747,CC1=C(OC(=O)C2=CC=CC=C12)C(=O)NC1=NC(=CC=N1)C1=CC=C(F)C(F)=C1,s_11____13026528____11759832_S0_T0,-12.5
803,12502,CN(C(=O)C1=CC=C2N=C(NC2=C1)C1=CC=CC=C1)C1=NC=CC2=CC=CC=C12,s_11____14523708____14941824_S0_T1,-12.2
804,60781,O=C(N1CC(CC2=CN(CC3=CC=CC4=CC=CC=C34)N=N2)C1)C1=NC2=NC=CN=C2C=C1,m_276010____17282382____17257572____17280976_S0_T0,-11.8
805,29025,CC1=C(N=NN1C1=CC=CC2=NC=CC=C12)C(=O)OC1=CC=C2C=CNC(=O)C2=C1,s_276436____14081800____14094820_S0_T0,-12.0
806,23243,CC1=CC=CC(CNC(=O)C2=CC(=NC3=CC=CC=C23)C2=CC=CC3=CC=CC=C23)=C1F,s_11____18714560____53746_S0_T0,-12.0
807,66805,O1C=C(C2=NC(=CS2)C2=CN(N=N2)C2=CC=CC3=CC=CC=C23)C2=CC=CC=C12,m_274972____14056676____12615770____13046596_S0_T0,-11.8
808,14682,CC1=CNN=C1C(=O)NC1=CC=C(F)C(=C1)C1=CN(N=N1)C1=CC=CC2=CC=CC=C12,m_276010____17282136____13624402____17280982_S0_T1,-12.2
809,22883,O=C(NC1=NC2=CC3=C(CCC3)C=C2N1)C1=C[N-]N2C1=NC(=O)C1=CC=CC=C21,m_22____21253018____1000720_S0_T2,-12.0
810,1465,CC1=COC(=C1C(=O)N1CC(C1)N1C=C(N=N1)C1=CC2=NC=CC=C2C=C1)C1=CC=CC=C1,m_276010____17281746____17253308____17280616_S0_T0,-12.6
811,54093,CC1=CC=C(NC(=O)C2=CC=C(O2)C2=CC=CC3=CC=CC=C23)C=C1N1C=NN=N1,s_22____592004____16784258_S0_T0,-11.8
812,89466,OC1=C(NC(=O)N1C1=CC=C(CC2=NN=C3CCCN23)C=C1)C1=CC=CC2=CC=CC=C12,s_272212____9428082____13157932_S0_T1,-11.7
813,99374,ClC1=CC=CN=C1N1C=C(NC(=O)C2=CC=C(C=C2)C2=CC=CC3=CC=CN=C23)C=N1,m_11____15781460____10154858_S0_T0,-11.7
814,36996,ClC1=CC(=CC(N1)=NNC(=O)C1=NC2=NC(=O)C3=CC=CC=C3N2[N-]1)C1=N[N-]N=N1,m_280130____17857112____18335796_S0_T4,-11.9
815,70051,NC1=NC2=CC=CC=C2C(=C1)C1=NOC(=N1)C1=C2C=NSC2=CC=C1,m_270196____13259904____15143858_S0_T0,-11.8
816,51800,CN(C(=O)NC1=CC=C(C)C(=C1)C1=CC=CC=C1)C1=CN(CC2=CC=CC=C2)N=N1,s_2430____18368286____15765882_S0_T0,-11.9
817,67823,O=C1CCC2=CC(=CC=C2N1)C1=CC2=C(C=C1)C=CC1=C2C=CC=C1,s_271570____11830238____21749638_S0_T0,-11.8
818,55895,CC1=CNC2=CC=C(NC(=O)C3=CC=CC(NC4=NC5=CC=CC=C5C(=O)N4)=C3)C=C12,m_22____12215886____21060352_S0_T1,-11.8
819,44811,FC1=CC=C2OC(=CC2=C1)C(=O)N1CC(C1)C1=CN(N=N1)C1=CC2=CC=CC=C2C=C1,m_276010____17281868____17249278____17280750_S0_T0,-11.9
820,62194,C1CN2C=NN=C2C[C@H]1C1=NC(=NO1)C1=NC=CC2=CC=CC=C12,m_265764____4903266____17834068_S1_T0,-11.8
821,84630,C[C@@H](N1C(O)=NC(=C1O)C1=CC=CC2=CC=CC=C12)C1=CN(C)C2=CC(Cl)=CC=C12,s_272104____13914184____13157928_S0_T2,-11.7
822,35355,COC1=CC=CC=C1C1=CC=NC(NC(=O)C2=C(C)C3=CC=CC=C3C(=O)O2)=N1,s_11____12527144____11759832_S0_T0,-11.9
823,95403,C1C[C@@H](C2=NC(=NO2)C2=NC3=CC=CC=C3C=C2)C2=C(C1)NN=C2,m_265764____13776246____7044708_S0_T1,-11.7
824,93380,BrC1=CC=CC2=C1CN(C2)C(=O)C1=CC2=C(NC3=C2C=CC=C3)C=C1,s_22____18241178____21290896_S0_T0,-11.7
825,92110,C[C@@H]1OC2=CC=CC=C2O[C@H]1C1=NC(=NO1)C1=CC=NC2=CC=CC=C12,m_270196____13940684____14928366_S2_T0,-11.7
826,83142,CC1=C(ON=C1NC(=O)C1=CC(=NO1)C1=CC(F)=CC=C1F)C1=CC=CC=C1,s_11____16727240____4860346_S0_T0,-11.7
827,27974,FC1=CC=C(\C=C\C(=O)NC2=CC=NC3=CC=C(OC4=CC=CC=C4)C=C23)C2=CC=CC=C12,s_11____9395770____12433986_S0_T0,-12.0
